id,title,authors,publisher,published_date,categories,review_score,review_text,review_summary,review_helpfulness,review_time,user_id,profile_name,helpfulness_numerator,helpfulness_denominator,helpfulness_ratio,authors_array,categories_array,author_count,category_count,is_helpful,has_multiple_authors,has_multiple_categories,is_recent_review
0060110546,Dempsey,['randy Roberts'],University Of Illinois Press,2003,['biography & Autobiography'],4.0,"Jack Dempsey fought several of the biggest, most controversial fights in boxing history, but you'd never know it by reading this book. His autobiography is as understated and plainspoken, as the Roger Kahn biography is elaborate and flowery. This is particularly the case where Dempsey describes his fights; he has hardly anything to say about ring strategy, or his opponents style. He just states the events leading up to the fight, then gives an account of how the fight went (I don't think he ever spent more than 3 paragraphs on that part). By comparison, I think that Kahn spent at least 30 pages, or so, on just the Willard fight. That's by no means to say that Dempsey's book isn't entertaining, or worth reading -just a remark on the book's style.I don't think anyone would disagree, factually, with what's written in this book, but, of course, it's difficult to know how judicious he was about what he put in. As regards what he did choose to write, he doesn't whine or make excuses for any of the disasters that happened in, or out of the ring ,and there's only one person who I can recall him having anything bad to say about. To read the book, Dempsey comes off as tough, more or less affable roughneck, but also one who's willing to have a laugh at himself. There's a chapter he spends, basically making fun of the movies and plays he did and his acting ability, which is actually pretty funny. That sort of self depreciating humour is spread throughout the book.Jack Dempsey was someone who'd worked as a coalminer, rancher, lumberjack, starving hobo prize fighter, and had ridden the rods(the narrow beams underneath a Pullman) back and forth across the country - and once with broken ribs- several times, all before he was 20. Given all that, you'd maybe not expect a wordy book that's overflowing with the author's feelings.Anyhow, for better or worse, (I tend to lean torward the latter) we won't be seeing his kind again, I don't think, and it's a very different type of American he's been replaced with.","a low key, straightforward, funny autobiography",10/11,1060041600,A3HOF1OBYCV0I5,Nate Volkerding,10,11,0.9090909090909091,"[""['randy Roberts']""]","[""['biography & Autobiography']""]",1,1,1,0,0,0
0262121468,"Glory and Failure: The Difference Engines of Johann Mller, Charles Babbage, and Georg and Edvard Sheutz (History of Computing)",Unknown Author,Unknown Publisher,Unknown Date,Unknown Category,5.0,"The story of Georg and Edvard Scheutz is a well written and entertaining scientific book. A young schoolboy, Edvard Scheutz, succeeds in his kitchen to construct a difference engine that works better then that of the famous Charles Babbage. The story of how father and son struggle together to make their difference engine a profitable invention is incredibly interesteting both in a technical and economical aspect but also in a social aspect. Interesting is of course also why a genious invention like theirs becomes such a financial failure.This is a book to read both for those who have a general interest in history of techology and for those who have a particular interest in swedish history and inventors.",A glorius story about two almost unknown swedish inventors,5/5,999475200,A1UTL7UDHRMX79,"""""""tinaskytt""""""",5,5,1.0,['Unknown Author'],['Unknown Category'],1,1,1,0,0,0
027101931X,Panorama of Paris: Selections from Le Tableau De Paris,['jeremy Popkin'],Penn State Press,2010-11-01,['history'],5.0,"Mercier's Le Tableau de Paris is a classic that is very difficult to find in English. There are, I think, 12 volumes in the original, so I wouldn't expect all of it to be available right now. It's the first of its kind, a sociological study of a large city, Paris and its life and inhabitants, and it dates from just before the 1789 Revolution. This kind of study was later attempted by other writers, but Mercier remains the first and the best. It should be of interest to all social historians and sociologists.","Finally, Mercier's Le Tableau de Paris",2/2,1284422400,A221STPP9GQFXB,Musette,2,2,1.0,"[""['jeremy Popkin']""]","[""['history']""]",1,1,1,0,0,1
0312170483,A Tournament of Murders: The Franklin's Tale of Mystery and Murder as He Goes on Pilgrimage from London to Canterbury,['paul Doherty'],Headline,2012-11-27,['fiction'],4.0,"P.C.Doherty, an English headmaster with a family of 7 children still finds time to write 3000 words a day. In this fashion he writes in the region of 4 to 5 books a year-and gets them published! His knowledge of history is encyclopeadic and readers of his earlier books will not be disappointed with this new series which takes each of the Chaucher pilgrims to Canterbury and places them at the center of a murder mystery. Readers who enjoy Doherty's work ought to know that he writes under the following pseudonyms: C.L.Grace, Ann Dukthas, Paul Harding, Michael Clynes and his very latest, Anna Apostolou.",New historical mystery series from prolific author,7/7,877046400,unknown_user,Anonymous,7,7,1.0,"[""['paul Doherty']""]","[""['fiction']""]",1,1,1,0,0,0
0335206476,Business Planing For Healthcare Management,['carolyn Semple Piggot'],Brunner-routledge,2000-01-01,['business & Economics'],4.0,"Business Planning for Healthcare Management by Carolyn Semple Piggot, a British author and pharmacist and Editorial Director at a healthcare consultancy, provides basic concepts of healthcare management which is today becoming a more and more demanding field in most of the healthcare systems. It offers tips, basic and practical and conceptual skills (providing many questions to ponder upon) not only to professionals in the health services but also to junior managers who are tempted to take part of the new and future structure of health care administration / organization and its functions.Furthermore, the book helps to focus on the efficient health care delivery. It covers the development of leadership skills, future trends in healthcare management and guidelines of designing effective work groups through nine chapters revealing what planning is in a healthcare system, the planning process itself, the challenges of implementation, the evaluation process, the planning for health improvement, the joint planning and collaboration with social services, the management of shareholders, the plans for change and finally the role of the Board.",Business Planning for Healthcare Management,11/12,976147200,A3TCV04FGW7FHQ,Anne-Marie Yazbeck,11,12,0.9166666666666666,"[""['carolyn Semple Piggot']""]","[""['business & Economics']""]",1,1,1,0,0,0
0397552335,Creative Problem Solving in Occupational Therapy,"['jeanne E. Lewin', 'colleen A. Reed']",Lippincott Williams & Wilkins,1998,['medical'],5.0,I have had the benefit of just completing a course taught by the author Colleen Reed. Learning the prinicples of this book first hand has given me a great tool to deal with all aspects of daily living. I would highly recommend this book for any one. To be able to approach problems in a positve creative way opens the doors of possibilities and keeps us from being locked into patterns that keep us stuck. Bunnie Dewar OTS,The best way to solve any problem!,5/5,894326400,A1W0WP1EBD8DCG,dewar@thoughtport.com,5,5,1.0,"[""['jeanne E. Lewin'"", ""'colleen A. Reed']""]","[""['medical']""]",2,1,1,1,0,0
0451146956,See It and Say It in German,"['margarita Madrigal', 'inge D. Halpert']",Signet,1962-09-01,Unknown Category,5.0,"Have lived in Germany and Austria several years. Used this book when I initially moved to Germany and literally was comfortable speaking after only 3 months! I recommend this to all my colleagues who travel abroad. Also, anybody who is serious about learning a language must realize that classroom instruction is very purposeful to get you in the right direction for both pronunciation and grammer, but sitting down and learning on your own is unquestionably the absolute only way to really learn a foriegn language (I speak 3). This book RULES!",Best Beginning German Book I've ever read out of hundreds!,10/10,968198400,unknown_user,Anonymous,10,10,1.0,"[""['margarita Madrigal'"", ""'inge D. Halpert']""]",['Unknown Category'],2,1,1,1,0,0
0471569739,Essentials of Balanced Scorecard (Essentials Series),Unknown Author,Unknown Publisher,Unknown Date,Unknown Category,5.0,"I've read a number of BSC books, from Kaplan &amp; Norton's original classic, to later works, and this is one of the very few that goes into practical implementation and management of a balanced scorecard.What makes this book better than the others I've read is the way the author points out the pitfalls as well as the advantages of implementing and using this tool. He is objective and, more importantly, experienced, which is evidenced by how he places the BSC in context. This context is shown in the gap he uncovers between strategic themes, mission/vision/values, competencies, and purpose, and initiatives, objectives, measures and targets. The BSC fills that gap - if properly done and all of the key factors are understood.I liked the way this book uncovers subtle key factors, such as the differences between strategy and operational effectiveness (often mistakenly viewed as the same thing), and what you should and should not be measuring. I also liked the way strategic themes were defined as a concept, as well as the use of tool called a paradox map to verify the alignment of tasks to strategy.The bulk (and value) of this book is the implementation plan, which is governed by six critical success factors necessary to implement a BSC. It is here that the book shines because the implementation is laid out as a project (in fact, one of the six CSFs is to treat the implementation as a project), and is achievable with no non-value added steps.If you want to gain an objective view of balanced scorecards and their value, and a pragmatic approach to implementing one, this book is the one I recommend.",Cuts to the chase - practical approach,22/23,1087862400,A2NYK9KWFMJV4Y,"""Mike Tarrani """"Jazz Drummer""""""",22,23,0.9565217391304348,['Unknown Author'],['Unknown Category'],1,1,1,0,0,0
0505524570,"The Star Prince (Star Series, Book 2)",['melanie Rawn'],Penguin,2005-07-05,['fiction'],5.0,"This book by Susan is my second, after reading Contact and enjoying that one I quickly found this one and Star Princess. I really enjoyed this one, Ian and Tee'Dar were great for each other. I also greatly enjoyed the secondary characters like Muffin and Lara. The KettaCat was also great. I also hope that she contines this series,and hope that she finds a mate for Klark Che's brother. I'm still trying to get all the families down, but she's going to have to continue the series. I'm now reading Star Princess and enjoying that book as well. I highly recommend thses books they're great. Please Susan write more Star series books.",Great series...............,2/2,1090108800,A2F3E5COFR0QP4,R. Hoover,2,2,1.0,"[""['melanie Rawn']""]","[""['fiction']""]",1,1,1,0,0,0
0553201867,Mathew Swain: The Deadliest Show in Town,['mike Mcquay'],Unknown Publisher,1982,Unknown Category,4.0,I like punchy dialogue and Mike McQuay writes some snappy bits of verbal sparring that constantly make me giggle! I agree that these Mathew Swain books would all make enjoyable films. Robert Rodriguez or Richard Linklater (both being from Texas) would be the ideal directors for its southern-fried sci fi vibe.,Twenty-First century Snark!,2/2,1282348800,A3KYA1N8G29M8T,Tiffany Norling,2,2,1.0,"[""['mike Mcquay']""]",['Unknown Category'],1,1,1,0,0,1
